LANGUAGE,English,German
str_self_g_killed_w, "You had a weapon in your hand, so the cop was right to shoot you.", "Du hattest eine Waffe in der Hand, also hatte der Cop das Recht zu schießen."
str_self_g_barrier, "Fuckin Cops! Think they can stop ME...", "Verdammte Cops! Glauben sie könnten MICH aufhalten..."
str_self_g_tookweapon, "Shit, that cop took my weapons!", "Scheiße, der Cop hat mich entwaffnet!"
str_self_g_synth, "You were able to synthesize %1 doses of Angel Dust out of the %2 medicines you had stolen", "Du konntest aus den %2 medis %1 Dosen Angeldust herstellen."
str_self_g_nomeds, "You do not have any medicines to synthesize!", "Du hast keine Medikamente zum synthetisieren!"
str_self_g_crnew, "Gangster rank %1 reached", "Gangster Rang %1 erreicht",
str_self_g_ambrob, "This ambulance has been robbed already.", "Diese Ambulanz wurde schon beraubt!"
str_self_g_bankcode, "The access code is %1.", "Der Türcode lautet %1"
str_self_g_nscdead, "A dead man cannot pay you...", "Tote zahlen nicht..."
str_self_g_copweap, "Shit, that cop took my weapons.", "Mist, der Cop hat mir die Waffe abgenommen."
str_self_g_stealcar, "You're stealing this car", "Du brichst dieses Auto auf."
str_self_g_unlocked, "This car is unlocked now", "Dieses Auto ist nun offen."
str_self_g_bweed, "You built a weed field. Wait a little time and you will be able to harvest it.", "Du hast ein Hanffeld gebaut. Warte eine Weile und Du kannst ernten." 
str_self_g_bweedn1, "That's not a good place. Another weed farm ist to near.", "Kein guter Platz. Eine andere Farm ist zu nah."
str_self_g_dropweed, "10 packages of weed dropped.", "10 Päckchen Gras abgelegt."
str_self_g_dropweedno, "You don't have enough weed to drop.", "Du hast nicht genug Gras."
str_self_g_captureno, "You cannot capture this building, a razzia is going on here!", "Du kannst das Gebäude nicht übernehmen. Hier läuft gerade eine Razzia!"
str_self_g_deadbody, "Wanna carry around a dead body?", "Willst Du eine Leiche rumschleppen?"
STR_SELF_NOWCRIMELORD, "Now I am a Crimelord!", "Jetzt bin ich ein echter Gangsterboss!"
STR_SELF_CANTFEIGN, "Can't Feign With Hands Up!", "Kann mich mit erhobenen Händen nicht totstellen."
STR_SELF_CANTHANDSUP, "Cant Put Hands Up While Feigned!", "Kann meine Hände nicht hochnehmen, wenn ich mich totstelle."
STR_SELF_G_NOWEAPON, "There is no weapon in your hand.", "Du hast keine Waffe in der Hand."
STR_SELF_G_CANTHIDE, "You can't hide this weapon!", "Diese Waffe kannst du nicht verstecken!"
STR_SELF_G_HIDE, "You hide your %1", "Du versteckst deine %1"
STR_SELF_G_HARVESTED, "You harvested %1 packages of finest weed. Certain people are waiting for it.", "Du hast %1 Päckchen feinsten Gras geerntet. Bestimmte Leute warten schon darauf!"
STR_SELF_G_REPUTATION, "Because of your reputation, you get this gun for free.", "Wegen Deines einschlägigen Rufs bekommst du diese Waffe kostenlos."
STR_SELF_G_AMMO, "You bought ammo for your %1", "Gu hast Munition für deine %1 gekauft"

str_global_feign, "%1 was killed!", "%1 wurde getötet!"
str_global_checkdrugs, "%1 has no drugs!", "%1 hat keine Drogen!"
str_global_onepack, "%1 has only one joint...leave him.", "%1 hat nur einen Joint bei sich..."
str_global_drugsfound, "Good Catch! %1 has %2 packages of weed!", "Guter Fang! %1 hat %2 Päckchen Gras dabei!"
str_global_crcheck, "%1 %2 with a crimerate of %3", "%1 %2 mit einer Crimerate von %3"
str_global_copkiler, "%1 killed a Cop and is now marked on the map!", "%1 hat einen Cop getötet und ist nun auf der Karte markiert!"
str_global_civkill, "%1 killed a %2 in %3!", "%1 hat einen %2 in %3! getötet!"
str_global_crime, "Crime detected near %1: %2", "Verbrechen gemeldet bei %1: %2"
str_global_g_killed, "%1 was killed by a cop, without being armed and a low Crimerate...", "%1 wurde von einem Cop Erschossen. Er war unbewaffnet und kein Schwerverbrecher..." 
str_global_gangsterinjail, "%1 is in jail now.", "%1 sitzt nun im Gefängnis."
str_global_carsecured, "Cops seized a stolen car", "Die Cops haben ein gestohlenes Auto sichergestellt." 
str_global_surrender, "%1, you surrender and go to jail...", "%1 hat sich ergeben und ging ins Gefängnis..."


str_nsc_buyedcar, "Your new vehicle is waiting for you", "Dein neues Fahrzeug wartet auf Dich."
str_nsc_druglord_ready, "The Druglord is now in %1 and waiting for you.", "Der Drogenbaron ist in %1 und wartet auf Verkäufer"
str_nsc_druglord_deal, "It's a pleasure to make a deal with you.\nSee you soon.", "Es ist ein Vergnügen mit Ihnen Geschäfte zu machen.\Bis bald."
STR_NSC_DRUGLORD_SOLD, "You sold %1 packages and earned %2$", "Du verkaufst %1 Pakete Gras für %2$ an den Drogenbaron."
str_nsc_druglord_nodeal, "Don't play games with me, Buddy!\nI only buy big amounts...at least 10 packages!\nI'm a business-man!\n\n...Now: Piss off!", "Spiel keine Spielchen mit mir, Freundchen!\Ich kaufe nur große Mengen... mindestens 10 Packs.\Ich bin Geschäftsmann.\n\n...und jetzt: Verpiss Dich!"  
str_nsc_donthurt, "Don't hurt me, I give you, what you want...", "Bitte, tun Sie mir nichts, Ich gebe Ihnen, was sie wollen..."
str_nsc_shopsec, "Thanks Officer, I feel safe now.", "Danke Officer, Jetzt fühl ich mich sicher."
str_nsc_narcsell, "I'm FLYING, man!\n I surely will need more of it little later, so please come back!", "Ich fliege, Mann!\n Komm später nochmal und bring mir mehr von dem Zeug!"
str_nsc_weedsell, "Thanks man, that's good stuff! I will need more of it little later, so please come back!", "Danke Mann, das ist guter Stoff! Ich brauch später sicher noch was, als komm wieder, ja?"
str_nsc_carnotworth, "Bring me a car, that is worth something...", "Bring mir ein Auto, dass was wert ist"
str_nsc_rep, "You do not have a very frightening reputation... Leave me alone!", "Wer bist Du denn? Ich habe keine Angst vor Dir... Verschwinde!"
str_nsc_weednod, "You suck man! Get me some drugs or leave me alone.", "Geh mir nicht auf den Sack, Mann! Bring mir Stoff oder lass mich in Ruhe."
str_nsc_weednon, "I don't need anything at the moment, come back later...", "Ich brauch momentan nix. Komm später wieder..."
str_nsc_womanfree, "Yes, Officer. I will follow.", "Ja, Officer, ich folge ihnen."
str_nsc_womanhost, "Don't hurt me, please. I will follow.", "Tun Sie mir nichts, ich komme mit ihnen."



STR_OUTOFCAR, "Get out of the car first!", "Steig zuerst aus dem Wagen aus!"
STR_NOMONEY, "Not enough money!", "Zu wenig Geld!"

STR_ACTION_OPEN, "[Open Actions]", "[Öffne Aktionsmenu]"
STR_ACTION_CLOSE, "[Close Actions]", "[Schließe Aktionsmenu]"
STR_ACTION_STATS, "Show Statistics", "Zeige Statistik"
STR_ACTION_SCOREHINT, "Show Score-Hint", "Zeige Kurz-Score"
STR_ACTION_FULLSCORE, "Show full score", "Zeige Gesamt-Score"
STR_ACTION_HANDSUP, "Hands up", "Hände hoch"
STR_ACTION_HANDSDOWN, "Hands Down", "Hände runter"
STR_ACTION_FEIGN, "Feign", "Tod vortäuschen"
STR_ACTION_GETUP, "Get up", "Aufstehen"
STR_ACTION_HIDEWEAPON, "Hide/Show weapon", "Verstecke/Zeige Waffe"
STR_ACTION_BUILDMENU, "Open Buildmenu", "Öffne Baumenu"
STR_ACTION_WATCH_P, "Watch Bank in Petrovic", "Beobachte Bank in Petrovice"
STR_ACTION_WATCH_L, "Watch Bank in Lipany", "Beobachte Bank in Lipany"
STR_ACTION_DROPWEED, "Drop 10 p. of weed", "Lege 10 P. Gras ab"
STR_ACTION_DROPMONEY, "Drop 500$", "Lege 500$ ab"
STR_ACTION_SWAT, "Call Swat-Team - 1000$", "Rufe Swat-Team - 1000$"
STR_ACTION_TAXI, "Call a Taxi", "Rufe ein Taxi"
STR_ACTION_DRUGDEALER, "Sell weed to drugdealer", "Verkaufe Gras an Drogendealer"
STR_ACTION_PROTECTION, "Offer Protection", "Schutz anbieten"
STR_ACTION_MAKEFOLLOW, "Make him Follow", "Mann entführen"
STR_ACTION_ROBMAN, "Rob this man", "Mann ausrauben"
STR_ACTION_LETGO, "Let civilian go", "Lass Zivilist gehen"
STR_ACTION_GETHIMOUT, "Get him out!", "Hol ihn raus!"
STR_ACTION_DORAZZIA, "Do a razzia here!", "Razzia durchführen!"
STR_ACTION_RECRUIT, "Recruit AI Cops", "Rekrutiere KI Cops"
STR_ACTION_RECRUIT1, "Recruit Cop - %1$", "Rekrutiere Cop - %1$"
STR_ACTION_RECRUIT2, "Recruit Heavy Cop - %1$", "Rekrutiere schwer bewaffneten Cop - %1$"
STR_ACTION_RECRUIT3, "Recruit SpecOps - %1$", "Rekrutiere Spezial Cop - %1$"
STR_ACTION_RECRUIT4, "Recruit Sharpshooter - %1$", "Rekrutiere Scharfschütze - %1$"
STR_ACTION_BUILDBARRIER, "Build Barrier", "Baue Straßensperre"
STR_ACTION_REMOVEBARRIER, "Remove Barrier", "Entferne Straßensperre"

STR_CARSHOP_REDBIKE, "* Buy red motorbike -250 $", "* Kaufe rotes Motorrad -250 $"
STR_CARSHOP_BLUEBIKE, "* Buy blue motorbike -250 $", "* Kaufe blaues Motorrad -250 $"
STR_CARSHOP_BLACKBIKE, "* Buy black motorbike -250 $", "* Kaufe schwarzes Motorrad -250 $"
STR_CARSHOP_REDCAR, "* Buy red Skoda -300 $", "* Kaufe roten Skoda -300 $"
STR_CARSHOP_BLUECAR, "* Buy blue Skoda -300 $", "* Kaufe blauen Skoda -300 $"
STR_CARSHOP_YELCAR, "* Buy yellow Skoda -300 $", "* Kaufe gelben Skoda -300 $"
STR_CARSHOP_GREENCAR, "* Buy green Skoda -300 $", "* Kaufe grünen Skoda -300 $"
STR_CARSHOP_SELLCAR, "Sell Car", "Verkaufe Auto"

STR_CRIME_MSG, "Crime detected near %1: %2", "Verbrechen gemeldet in %1: %2"
STR_CRIME_SW, "the country side", "der Pampa"
STR_CRIME_CARSTOLEN, "Car stolen", "Autodiebstahl"
STR_CRIME_DRUGDEALER, "Drug dealer in action", "Drogenhändler aktiv"
STR_CRIME_BANKROBBED, "Bank robbed", "Bankraub"
STR_CRIME_VIOLENCE, "Violence against civilian", "Gewalt gegen Zivilist"
STR_CRIME_KIDNAP, "Civilian kidnapped", "Zivilist entführt"
STR_CRIME_CIVROB, "Civilian robbed", "Zivilist ausgeraubt"
STR_CRIME_CIVKILL, "Civilian killed", "Zivilist getötet"
STR_CRIME_COPKILL, "Cop killed", "Polizist ermordet"
STR_CRIME_SHOP, "Shop blackmailed", "Schutzgeld-Erpressung"
STR_CRIME_BANKERKILL, "Banker killed", "Bankier getötet"
STR_CRIME_BANKGUARDKILL, "Bank guard killed", "Bankwache getötet"
STR_CRIME_CARSOLD, "Stolen car sold", "Gestohlenes Auto wurde verkauft"
STR_CRIME_AMBUROBBED, "Ambulance robbed", "Ambulanz wurde ausgeraubt"

STR_SURRENDER_1, "Entering a Police Station is a bad idea!", "Eine Polizeistation zu betreten ist keine gute Idee!"
STR_SURRENDER_2, "%1, you surrender and go to jail...", "%1, du ergibst dich und wanderst in den Knast!"

STR_TIMELIMIT_START, "%1 minutes left", "Noch %1 Minuten"
STR_TIMELIMIT_10, "10 minutes left", "Noch 10 Minuten..."
STR_TIMELIMIT_5, "5 minutes left", "Noch 5 Minuten..."
STR_TIMELIMIT_2, "2 minutes left", "Noch 2 Minuten..."
STR_TIMELIMIT_1, "1 minute left", "Noch 1 Minute..."

STR_PAYCHECK_BIKERS,  "Pay check coming! Income your team earned:\n~~~~~~~~~~~~~~~~~\nBars: %1$\nCasinos: %2$\nShops: %3$\nHookers: %4$\nCrimelords: %5$\n~~~~~~~~~~~~~~~~~\nLawyer-costs: %6$\n~~~~~~~~~~~~~~~~~\nSum Paycheck: %7$\n~~~~~~~~~~~~~~~~~\nBikers total: %8$\n~~~~~~~~~~~~~~~~~\nMafia: %9$\nCops: %10$",  "Lohnabrechnung! Dein Team hat verdient:\n~~~~~~~~~~~~~~~~~\nBars: %1$\nCasinos: %2$\nShops: %3$\nNutten: %4$\nGangsterbosse: %5$\n~~~~~~~~~~~~~~~~~\nAnwaltskosten: %6\n~~~~~~~~~~~~~~~~~\nSumme: %7$\n~~~~~~~~~~~~~~~~~\nBiker insg.: %8$\n~~~~~~~~~~~~~~~~~\nMafia: %9$\nPolizei: %10$"
STR_PAYCHECK_MAFIA,  "Pay check coming! Income your team earned:\n~~~~~~~~~~~~~~~~~\nBars: %1$\nCasinos: %2$\nShops: %3$\nHookers: %4$\nCrimelords: %5$\n~~~~~~~~~~~~~~~~~\nLawyer-costs: %6$\n~~~~~~~~~~~~~~~~~\nSum Paycheck: %7$\n~~~~~~~~~~~~~~~~~\nMafia total: %8$\n~~~~~~~~~~~~~~~~~\nBikers: %9$\nCops: %10$",  "Lohnabrechnung! Dein Team hat verdient:\n~~~~~~~~~~~~~~~~~\nBars: %1$\nCasinos: %2$\nShops: %3$\nNutten: %4$\nGangsterbosse: %5$\n~~~~~~~~~~~~~~~~~\nAnwaltskosten: %6\n~~~~~~~~~~~~~~~~~\nSumme: %7$\n~~~~~~~~~~~~~~~~~\nMafia insg.: %8$\n~~~~~~~~~~~~~~~~~\nBiker: %9$\nPolizei: %10$"
STR_PAYCHECK_COPS, "Pay check coming:\nCops earned another %1$\n~~~~~~~~~~~~~~~~~\nAccount total: %2$\n~~~~~~~~~~~~~~~~~\nMafia: %3$\nBikers: %4$", "Lohnabrechnung!:\nPolizei verdient %1$\n~~~~~~~~~~~~~~~~~\nPolizei insg.: %2$\n~~~~~~~~~~~~~~~~~\nMafia: %3$\nBiker: %4$"

STR_BUILDING_RAZZIA, "You can't capture this building. There is a razzia going on...", "Du kannst das Gebäude nicht übernehmen. Hier findet gerade eine Razzia statt."
STR_BUILDING_CAPTURED, "This building has been captured.", "Das Gebäude wurde erfolgreich übernommen."


STR_STATS_ROBBERIES,  "Robberies", "Raubüberfälle"
STR_STATS_STOLENCARS,  "stolen cars", "Autodiebstähle"
STR_STATS_SOLDCARS,  "sold cars", "Autoverkäufe"
STR_STATS_WEEDFARMS,  "planted weed farms", "gepflanzte Hanffelder"
STR_STATS_SOLDWEED,  "p. sold weed", "P. verkauftes Gras"
STR_STATS_ROBBEDMEDICS,  "robbed medics", "geraubte Medikamente"
STR_STATS_SYNTDRUGS,  "syntesized Angeldust", "synthetisiertes Angeldust"
STR_STATS_KIDNAP,  "Kidnappings", "Entführungen"
STR_STATS_BLACKMAILEDSHOPS, "blackmailed shops" , "Shop Erpressungen"
STR_STATS_BANKROB,  "successful bank robberies", "erfolgreiche Bankraube"
STR_STATS_KILLEDCIVS,  "killed civilians", "getötete Zivilisten"
STR_STATS_KILLEDGUARDS,  "killed bank guards", "getötete Bankwachen"
STR_STATS_KILLEDCOPS,  "killed cops", "Copkills"
STR_STATS_BUILTSHEDS, "built sheds", "gebaute Schuppen"
STR_STATS_BUILTBARS,  "built bars", "gebaute Bars"
STR_STATS_BUILTCASINOS, "built casinos", "gebaute Casinos"
STR_STATS_BUILTBROTHELS, "built brothels", "gebaute Bordelle"
STR_STATS_CAPTUREDBARS,  "captured bars", "übernommene Bars"
STR_STATS_CAPTUREDCASINOS, "captured casinos", "übernommene Casinos"
STR_STATS_WITHDRAWNMONEY, "withdrawn money", "abgehobenes Geld"
STR_STATS_DEPOSITEDMONEY, "deposited money", "eingezahltes Geld"
STR_STATS_GUNRUNS, "gunruns", "Waffenschmuggel"
STR_STATS_SECINJAIL, "seconds in jail", "Sekunden im Knast"
STR_STATS_BUILDINGDESTROYED, "destroyed Buildings", "zerstörte Gebäude"


STR_STATS_ARRESTMENTS, "arrestments", "Verhaftungen"
STR_STATS_SEIZEDCARS, "seized stolen cars", "sichergestellte Autos"
STR_STATS_RAZZIAS, "performed razzias", "Razzien"
STR_STATS_FREEDSHOPS, "freed shops", "befreite Shops"
STR_STATS_FREEDWOMEN, "freed women", "befreite Frauen"
STR_STATS_KILLEDGANGSTERS, "killed gangsters", "getötete Gangster"
STR_STATS_BURNTWEED, "burnt weed farms", "abgebrannte Hanffelder"
STR_STATS_SEIZEDDRUGS, "seized drugs", "sichergestellte Drogen"
STR_STATS_WEAPONS, "seized weapons", "sichergestellte Waffen"
STR_STATS_EXGUNRUNS, "intercepted gunruns", "verhinderte Waffenschmuggel"

STR_SCORE_SCORE, "%1's Score", "%1s Punktestand"
STR_SCORE_WINLIMIT, "Win Limit: %1 $", "Gewinn Ziel: %1 $"
STR_SCORE_TIMELEFT, "Time left: %1 min", "Zeit verbeleibend: %1 min"
STR_SCORE_RANK1, "No one knows your name.",  "Niemand kennt deinen Namen."
STR_SCORE_RANK2, "You're just a little fish.", "Du bist nur ein kleiner Fisch."
STR_SCORE_RANK3, "You're a mad dog.", "Du bist ein durchgeknallter Hund."
STR_SCORE_RANK4, "You're one to keep an eye on...", "Auf dich muss man ein Auge haben."
STR_SCORE_RANK5, "You're Gang Chief.", "Du bist ein Gangchef"
STR_SCORE_RANK6, "You really made a name for yourself!", "Du hast dir einen Namen gemacht"
STR_SCORE_RANK7, "Most people like to call you 'DON'... the others are dead.", "Die meisten Personen nennen sich 'Don'... die anderen sind tot."
STR_SCORE_BONUS1, "So, you're innocent and cannot be arrested. You respawn fast at the HQ.", "Du bist unschuldig und kannst nicht verhfatet werden. Du repawnst am Hauptquartier. "
STR_SCORE_BONUS2, "You're able to blackmail shops and abduct women. Respawn at HQ", "Du kannst Shops erpressen und Frauen entführen- Respawn am HQ."
STR_SCORE_BONUS3, "You spawn at the HQ with 50$ cash in your pocket", "Du respawnst am HQ mit 50$ in Bar"
STR_SCORE_BONUS4, "You get more money from robbing civilians, selling cars or drugs.", "Du kriegst mehr Geld beim Ausrauben von Zivilisten, Verkauf von Autos und Drogen"
STR_SCORE_BONUS5, "Weapons (-25%) and recruits (-20%) are cheaper for you.", "Waffen (-25%) und Rekruitieren (-20%)"
STR_SCORE_BONUS6, "You can pay your bills via the teamaccount.", "Du kannst direkt vom Teamkonto bezahlen."
STR_SCORE_BONUS7, "You get an extra income of 250$ each paycheck and respawn with a beretta", "Du bekommst 250$ extra und respawnst mit einer Beretta."
STR_SCORE_MALUS1, "You cannot intimidate shops or abduct women.", "Du kannst Shops nicht erpressen und keine Frauen entführen"
STR_SCORE_MALUS2, "You can be arrested, Respawntime: 30sec", "Du kannst verhaftet werden. Respawnzeit 30 sek."
STR_SCORE_MALUS3, "Respawndelay: 60 sec", "Respawnverzögerung: 60 sek."
STR_SCORE_MALUS4, "Respawndelay: 90 sec & Respawn at random points", "Respawnverzögerung: 90 sek., Respawn an zufälligen Orten"
STR_SCORE_MALUS5, "Respawndelay: 120 sec", "Respawnverzögerung: 120 sek."
STR_SCORE_MALUS6, "Respawndelay: 150 sec", "Respawnverzögerung: 150 sek."
STR_SCORE_MALUS7, "Respawndelay: 180 sec. Cannot be captive by hiding weapon or having none", "Respawnverzögerung: 180 sek. Du kannst deine Waffe nicht verstecken."
STR_SCORE_CASH, "Cash: %1 $", "Bargeld: %1 $"
STR_SCORE_ACCOUNT, "Bank Account: %1 $", "Bankkonto: %1 $"
STR_SCORE_CRIMERATE, "Your Crimerate: %1", "Deine Crimerate: %1"
STR_SCORE_DUTYPOINTS, "Your Dutypoints: %1", "Deine Dutypunkte: %1"
STR_SCORE_CRIMERANK, "Your Crimerank: %1", "Dein Crimerank: %1"
STR_SCORE_COPRANK, "Your Rank: %1", "Dein Rang: %1"
STR_SCORE_TOTALCRIMERATE, "Total Crimerate: %1", "Gesamt Crimerate: %1"
STR_SCORE_CRIMEHIGHSCORE, "Crimehighscore: %1", "Crimehöchststand: %1"
STR_SCORE_RECENTCRIMESCORE, "Recent Crimescore: %1", "Aktueller Crimestand: %1"
STR_SCORE_POLICE, "Police: %1 $", "Polizei: %1 $"
STR_SCORE_MAFIA, "Mafia: %1 $", "Mafia: %1 $"
